name,d,N,T,samples,attempts,keygen_ms,kagg_ms,sign_ms,sign_dualms_ms,sign_rs_ms,verify_ms,verify_dualms_ms,verify_rs_ms,sk_bytes,pk_bytes,ring_bytes,sig_bytes
"N=1,T=2",128,1,2,12,11.67,2.44,0.782,129.9,91.2,33.27,7.72,3.74,3.65,32,7291,14592,17234
"N=1,T=4",128,1,4,12,14.25,2.2,1.75,280.6,222.8,51.89,8.92,4.83,3.65,32,7291,29184,17889
"N=1,T=8",128,1,8,10,21.3,2.19,4.32,758.2,655.2,95.42,11.95,7.63,3.64,32,7291,58368,18360
"N=1,T=16",128,1,16,8,19.0,2.2,12.04,1306.9,1166.0,127.7,20.61,15.8,3.66,32,7291,116736,18995
"N=32,T=1",128,32,1,12,35.83,2.48,10.95,811.5,537.3,257.8,42.69,26.13,14.39,32,7291,233472,21965
"N=32,T=4",128,32,4,12,23.5,2.21,56.38,1717.4,1406.6,278.8,98.88,76.88,14.43,32,7291,933888,23060
"N=32,T=8",128,32,8,10,22.4,2.22,139.8,3266.0,2687.9,501.5,196.5,167.3,14.38,32,7291,1866465,23521
"N=32,T=16",128,32,16,8,26.62,2.19,388.9,7610.5,6389.5,972.5,466.8,423.8,14.23,32,7291,3732931,24187
"N=32,T=32",128,32,32,5,29.4,2.19,1196.5,18690.0,13940.0,3842.7,1332.7,1261.9,14.19,32,7291,7465861,24637
"N=100,T=1",128,100,1,12,31.75,2.18,32.53,1776.5,1206.5,530.6,118.9,75.41,37.38,32,7291,729600,33352
"N=100,T=5",128,100,5,12,24.25,2.18,228.4,5752.4,4781.6,855.3,364.9,298.5,37.81,32,7291,3649044,34550
"N=100,T=10",128,100,10,10,28.4,2.26,594.1,13510.0,11160.0,2022.6,783.1,688.6,37.88,32,7291,7298089,35185
"N=100,T=25",128,100,25,8,30.0,2.3,2490.8,36990.0,29160.0,6062.8,2854.9,2676.8,37.94,32,7291,18245222,35922
"N=100,T=50",128,100,50,5,42.6,2.2,8269.9,110670.0,82450.0,21430.0,8935.0,8615.3,38.12,32,7291,36479959,36393
