name,d,N,T,samples,attempts,keygen_ms,kagg_ms,sign_ms,sign_dualms_ms,sign_rs_ms,verify_ms,verify_dualms_ms,verify_rs_ms,sk_bytes,pk_bytes,ring_bytes,sig_bytes
"N=1,T=2",128,1,2,12,18.92,1.71,0.627,160.5,114.5,41.95,5.77,2.77,2.81,32,7291,14592,17244
"N=1,T=4",128,1,4,12,24.75,1.62,1.11,364.5,295.8,64.39,6.37,3.33,2.81,32,7291,29184,17889
"N=1,T=8",128,1,8,10,33.4,1.61,2.22,889.6,786.2,99.15,7.65,4.46,2.83,32,7291,58368,18340
"N=1,T=16",128,1,16,8,26.88,1.62,4.44,1395.1,1273.2,117.1,10.15,6.72,2.84,32,7291,116736,18985
"N=32,T=1",128,32,1,12,17.67,2.51,8.73,318.6,213.5,93.47,31.39,19.35,10.93,32,7291,233472,21975
"N=32,T=4",128,32,4,12,25.42,1.63,34.83,1375.0,1195.4,164.9,59.84,45.1,10.88,32,7291,933888,23071
"N=32,T=8",128,32,8,10,42.6,1.62,71.14,4286.3,3956.1,313.2,99.64,81.16,10.9,32,7291,1866465,23542
"N=32,T=16",128,32,16,8,30.88,1.61,144.1,6008.2,5671.3,314.2,177.4,151.9,10.82,32,7291,3732931,24187
"N=32,T=32",128,32,32,5,15.2,1.6,287.8,6052.2,5658.2,359.4,334.5,294.2,10.9,32,7291,7465861,24648
"N=100,T=1",128,100,1,12,33.08,1.63,26.89,1385.5,982.4,374.7,90.48,57.77,29.46,32,7291,729600,33352
"N=100,T=5",128,100,5,12,27.25,1.61,134.4,4600.2,4140.9,422.1,208.2,164.7,28.55,32,7291,3649044,34550
"N=100,T=10",128,100,10,10,38.0,1.61,276.0,12400.0,11630.0,722.2,364.3,306.6,28.7,32,7291,7298089,35185
"N=100,T=25",128,100,25,8,36.88,1.63,701.6,29240.0,27990.0,1166.7,827.5,725.2,29.35,32,7291,18245222,35932
"N=100,T=50",128,100,50,5,31.8,1.63,1409.7,50390.0,48410.0,1828.9,1609.1,1436.0,29.08,32,7291,36479959,36383
